,time,flux,cad
0,1738.6506031541392,1.00992936828882,120.0
1,1738.6519919990963,1.01084046876332,120.0
2,1738.6533808438207,1.00922022654826,120.0
3,1738.6547696887776,1.00971545952542,120.0
4,1738.6561585337342,1.01025581179078,120.0
5,1738.6575473784587,1.00956640362089,120.0
6,1738.658936223416,1.0090018317914,120.0
7,1738.6603250681408,1.00967720570042,120.0
8,1738.6617139130983,1.00963568813227,120.0
9,1738.6631027580554,1.00981866268377,120.0
10,1738.6644916030127,1.00944542457838,120.0
11,1738.6658804477368,1.00971469313295,120.0
12,1738.6672692926932,1.00935941955997,120.0
13,1738.6686581376507,1.01028504990281,120.0
14,1738.670046982608,1.01025221303407,120.0
15,1738.6714358275656,1.00977791021699,120.0
16,1738.672824672523,1.01013818167186,120.0
17,1738.6742135174802,1.00980634008816,120.0
18,1738.6756023624375,1.00973847896179,120.0
19,1738.6769912073944,1.00919524350917,120.0
20,1738.678380052351,1.00972717471314,120.0
21,1738.6797688973083,1.00904540113791,120.0
22,1738.6811577422664,1.0095324350361,120.0
23,1738.6825465872244,1.00992747217656,120.0
24,1738.6839354321817,1.01014838920183,120.0
25,1738.685324277372,1.00996463097903,120.0
26,1738.6867131223287,1.00986765985715,120.0
27,1738.688101967285,1.00891448831191,120.0
28,1738.6894908122429,1.0093466673691,120.0
29,1738.6908796574328,1.00946481218335,120.0
30,1738.6922685023903,1.00949262339132,120.0
31,1738.6936573475807,1.0096154045345,120.0
32,1738.6950461925378,1.00988553130605,120.0
33,1738.6964350374951,1.00999958360491,120.0
34,1738.6978238826848,1.00899568732465,120.0
35,1738.6992127276415,1.01039875190309,120.0
36,1738.7006015728318,1.00964107929912,120.0
37,1738.7019904180215,1.00958979823699,120.0
38,1738.7033792629793,1.00989739503403,120.0
39,1738.7047681081692,1.00900100502395,120.0
40,1738.7061569533596,1.00902910824767,120.0
41,1738.7075457983171,1.00984347217198,120.0
42,1738.7089346435066,1.00972731645858,120.0
43,1738.710323488696,1.00922994918953,120.0
44,1738.711712333886,1.00965855955626,120.0
45,1738.7131011788435,1.00942941003034,120.0
46,1738.714490024034,1.00952596290338,120.0
47,1738.7158788692238,1.00949847845738,120.0
48,1738.7172677144142,1.00886194491932,120.0
49,1738.7186565596037,1.00963791060663,120.0
50,1738.7200454047932,1.00962810389717,120.0
51,1738.7214342499835,1.0102107609574,120.0
52,1738.7228230951735,1.01040052820564,120.0
53,1738.7242119403638,1.00892192384551,120.0
54,1738.725600785554,1.00947802619221,120.0
55,1738.726989630744,1.00924531927763,120.0
56,1738.728378476167,1.01016954833219,120.0
57,1738.7297673213568,1.01000634334339,120.0
58,1738.7311561665463,1.00962119640027,120.0
59,1738.7325450117364,1.00927686982255,120.0
60,1738.7339338571594,1.0093538392286,120.0
61,1738.7353227023495,1.00941352602816,120.0
62,1738.7367115475397,1.01068169414556,120.0
63,1738.738100392963,1.00989050290717,120.0
64,1738.739489238153,1.00941411922247,120.0
65,1738.7408780833427,1.0108274364239,120.0
66,1738.742266928765,1.00959294915866,120.0
67,1738.7436557739547,1.00981221610696,120.0
68,1738.745044619378,1.00923618954803,120.0
69,1738.7464334648012,1.00898654560327,120.0
70,1738.7478223099913,1.01022864747788,120.0
71,1738.7492111554143,1.00924856465567,120.0
72,1738.7506000006044,1.00907998337754,120.0
73,1738.7519888460267,1.00917933724298,120.0
74,1738.7533776914493,1.00965306978115,120.0
75,1738.7547665368722,1.01023872927027,120.0
76,1738.7561553820626,1.00989630150046,120.0
77,1738.7575442274851,1.00938609253974,120.0
78,1738.7589330729083,1.00922409609561,120.0
79,1738.7603219183316,1.0088435016825,120.0
80,1738.761710763754,1.01030727548992,120.0
81,1738.7630996091764,1.00892817682917,120.0
82,1738.7644884545991,1.00982098234934,120.0
83,1738.7658773000223,1.00959639328652,120.0
84,1738.7672661454455,1.00943901390693,120.0
85,1738.7686549908683,1.00925668109603,120.0
86,1738.7700438362915,1.00945114386844,120.0
87,1738.7714326817143,1.009673834413,120.0
88,1738.7728215271375,1.00942968024111,120.0
89,1738.7742103725607,1.00878118913814,120.0
90,1738.7755992179834,1.0098606170566,120.0
91,1738.7769880634066,1.00945600995122,120.0
92,1738.7783769090624,1.00948549874352,120.0
93,1738.7797657544854,1.00920185451651,120.0
94,1738.7811545999086,1.00928337713068,120.0
95,1738.7825434455642,1.00900934176044,120.0
96,1738.7839322909865,1.00935445937204,120.0
97,1738.785321136409,1.00959167254206,120.0
98,1738.7867099820648,1.0092520230751,120.0
99,1738.788098827488,1.0096234295892,120.0
100,1738.7894876731436,1.00859180757949,120.0
101,1738.7908765185668,1.00893074802313,120.0
102,1738.7922653642227,1.00952724173753,120.0
103,1738.7936542096452,1.00950268196902,120.0
104,1738.7950430553003,1.00970994319628,120.0
105,1738.796431900956,1.00854974492697,120.0
106,1738.797820746379,1.00893654340644,120.0
107,1738.799209592035,1.00888535715176,120.0
108,1738.8005984376907,1.00882454007344,120.0
109,1738.801987283114,1.00903685604526,120.0
110,1738.8033761287695,1.0093137299282,120.0
111,1738.8047649744246,1.00860436665092,120.0
112,1738.80615382008,1.00924303971403,120.0
113,1738.8075426657358,1.00862788030194,120.0
114,1738.8089315113918,1.0085442425437,120.0
115,1738.8103203568146,1.0091998320842,120.0
116,1738.8117092024706,1.01087928256789,120.0
117,1738.8130980481267,1.00933064580506,120.0
118,1738.8144868937823,1.00899174328238,120.0
119,1738.8158757394372,1.00913076717192,120.0
120,1738.8172645850923,1.00853553379341,120.0
121,1738.8186534309812,1.00894608377288,120.0
122,1738.8200422766374,1.00930833396356,120.0
123,1738.821431122293,1.00816988876148,120.0
124,1738.822819967949,1.00912650102074,120.0
125,1738.8242088136046,1.00849473567803,120.0
126,1738.8255976592607,1.00885177613786,120.0
127,1738.8269865051486,1.00849185751594,120.0
128,1738.8283753508035,1.00839521964845,120.0
129,1738.8297641964596,1.00843402221258,120.0
130,1738.8311530423482,1.00965109397454,120.0
131,1738.8325418880042,1.00839030800141,120.0
132,1738.8339307336603,1.00945775367764,120.0
133,1738.8353195795487,1.00825653297437,120.0
134,1738.8367084252038,1.00945538602793,120.0
135,1738.838097271092,1.00789855079702,120.0
136,1738.8394861167478,1.00895608073036,120.0
137,1738.8408749626367,1.00934920209074,120.0
138,1738.842263808525,1.00871950704168,120.0
139,1738.8436526541811,1.00931106612913,120.0
140,1738.8450415000696,1.00889286648353,120.0
141,1738.8464303457256,1.00846859911996,120.0
142,1738.8478191916136,1.00808175335373,120.0
143,1738.8492080375015,1.00897764611328,120.0
144,1738.8505968833904,1.00861806705957,120.0
145,1738.851985729046,1.00897978400387,120.0
